"","SRR1039508","SRR1039509","SRR1039512","SRR1039513","SRR1039516","SRR1039517","SRR1039520","SRR1039521"
"ENSG00000000003",679,448,873,408,1138,1047,770,572
"ENSG00000000005",0,0,0,0,0,0,0,0
"ENSG00000000419",467,515,621,365,587,799,417,508
"ENSG00000000457",260,211,263,164,245,331,233,229
"ENSG00000000460",60,55,40,35,78,63,76,60
"ENSG00000000938",0,0,2,0,1,0,0,0
"ENSG00000000971",3251,3679,6177,4252,6721,11027,5176,7995
"ENSG00000001036",1433,1062,1733,881,1424,1439,1359,1109
"ENSG00000001084",519,380,595,493,820,714,696,704
"ENSG00000001167",394,236,464,175,658,584,360,269
"ENSG00000001460",172,168,264,118,241,210,155,177
"ENSG00000001461",2112,1867,5137,2657,2735,2751,2467,2905
"ENSG00000001497",524,488,638,357,676,806,493,475
"ENSG00000001561",71,51,211,156,23,38,134,172
"ENSG00000001617",555,394,905,415,727,697,618,599
"ENSG00000001626",10,2,9,2,10,6,5,5
"ENSG00000001629",1660,1251,2259,1079,2462,2514,1888,1660
"ENSG00000001630",59,54,66,23,84,87,31,59
"ENSG00000001631",729,692,943,475,1034,1163,731,744
"ENSG00000002016",201,161,256,99,268,257,160,137
"ENSG00000002079",3,0,3,1,4,0,0,1
"ENSG00000002330",206,174,184,111,194,260,156,177
"ENSG00000002549",1459,1294,1317,998,1451,1824,853,1031
"ENSG00000002586",7507,7203,9501,6214,10973,12863,6834,7225
"ENSG00000002587",2,0,1,0,0,2,0,0
"ENSG00000002726",0,0,1,0,0,0,0,0
"ENSG00000002745",4,6,22,10,2,1,5,3
"ENSG00000002746",151,139,117,65,90,102,86,119
"ENSG00000002822",411,303,446,195,445,523,295,300
"ENSG00000002834",6314,6364,7831,5809,6677,11970,5766,7825
"ENSG00000002919",234,246,298,211,217,376,184,265
"ENSG00000002933",1254,1508,636,431,25,27,70,109
"ENSG00000003056",1189,947,1266,693,1288,1555,957,899
"ENSG00000003096",550,315,557,171,519,284,485,224
"ENSG00000003137",124,57,256,63,30,45,194,68
"ENSG00000003147",0,0,0,1,1,2,2,0
"ENSG00000003249",81,71,207,80,109,112,156,128
"ENSG00000003393",769,723,791,540,1115,1509,768,864
"ENSG00000003400",98,59,133,72,58,49,96,67
"ENSG00000003402",1424,2617,1742,2364,2342,5198,1262,3761
"ENSG00000003436",4373,4183,5794,3230,7344,4981,3452,3342
"ENSG00000003509",287,280,357,191,386,396,251,248
"ENSG00000003756",2368,1748,2694,1327,2647,2520,1996,2073
"ENSG00000003987",17,25,25,29,20,51,12,27
"ENSG00000003989",47,56,12,3,51,102,18,46
"ENSG00000004059",1090,1306,1140,817,1334,1986,1028,1347
"ENSG00000004139",86,83,103,51,115,99,82,77
"ENSG00000004142",1496,1545,1607,964,1754,2301,1133,1256
"ENSG00000004399",4077,4260,3651,1649,5387,5992,2718,2809
"ENSG00000004455",1207,1111,1485,767,1497,2274,1017,921
"ENSG00000004468",3,1,0,0,3,1,2,1
"ENSG00000004478",502,461,551,281,612,659,400,392
"ENSG00000004487",1410,989,1492,727,1708,1614,1263,1035
"ENSG00000004534",1202,1015,1855,919,1721,1714,1171,1013
"ENSG00000004660",95,55,59,35,87,79,154,67
"ENSG00000004700",940,1096,1192,766,949,1452,812,1192
"ENSG00000004766",492,413,546,337,611,677,435,424
"ENSG00000004776",3473,3078,2775,1621,2084,2254,3571,3153
"ENSG00000004777",131,112,134,56,91,76,111,71
"ENSG00000004779",329,335,494,258,417,572,294,325
"ENSG00000004799",81,782,130,1106,235,485,628,3187
"ENSG00000004809",0,0,0,0,0,0,0,0
"ENSG00000004838",12,11,22,8,12,18,17,6
"ENSG00000004846",23,3,70,11,8,9,22,5
"ENSG00000004848",0,0,0,0,0,0,0,0
"ENSG00000004864",143,117,131,88,227,284,146,129
"ENSG00000004866",449,259,772,241,527,502,401,296
"ENSG00000004897",1549,1339,1730,1107,1793,2173,1338,1407
"ENSG00000004939",0,0,0,0,0,0,0,0
"ENSG00000004948",0,0,0,0,0,0,0,0
"ENSG00000004961",446,330,531,287,666,604,360,405
"ENSG00000004975",1366,1002,1069,516,1237,1061,1020,841
"ENSG00000005001",0,0,0,0,0,0,0,0
"ENSG00000005007",2158,2266,2436,1518,2341,3310,1964,2495
